x,y,traffic
844,1962,47795.01172
1356,2271,43295
869,2292,32200.95313
881,1256,24688.42188
1096,1658,23715.16016
683,2198,22274.39844
865,2012,21939
864,2013,21939
1335,2206,21331.80078
1357,1086,20138.01758
675,1957,19781.37891
932,2210,18680.96094
1019,1593,18394.39258
935,1665,18241.91602
1489,1228,16542.96094
699,2014,15980.875
1172,1797,15566.50391
972,1238,15063.48242
1195,2290,15046.78711
1314,1125,14569.31152
753,1297,13987.00586
892,2001,13489.65625
683,2197,13154.51758
1229,1894,12733.10254
1504,1026,12730.15234
1000,1858,12694.22559
1311,2005,12311.87793
1611,2233,11579.5166
629,2206,11390.77246
1394,1798,11097.34082
954,1168,11088.75391
1396,1772,10660
981,1256,10387.78613
1415,2303,10183.76074
430,1643,10100.02246
1325,1984,10014.43848
1370,2333,9875.611328
863,2186,9835.331055
1371,2333,9726.910156
1040,1868,9683.836914
568,1977,9538
1298,1783,9522.972656
912,971,9435.542969
864,2187,9415.285156
686,1292,9204.737305
890,1256,9138.916992
802,1302,9111
996,2080,8777.542969
1071,1862,8714.570313
865,2187,8537.537109
1194,2290,8349.379883
913,1765,8281.292969
1338,1124,8126.308105
2047,1770,8119.827148
391,1928,8081.5
1363,2303,7974.056641
1296,1782,7902.122559
1060,1861,7900
806,1302,7794
1223,1477,7617.801758
783,1351,7552.734863
1188,2330,7476.757324
1367,1501,7408.102051
1258,1465,7231.84668
981,1255,7186.644531
2238,1788,7186.233887
1258,1466,7169.891113
204,1754,7156.300293
2268,1962,6977.737793
1010,1156,6944.081543
1052,1182,6934.246094
827,1551,6788.858398
828,1551,6788.858398
862,2186,6715.397949
1012,1548,6640.281738
1323,2326,6613.276855
1529,2401,6581.398926
567,2017,6537.780273
566,2017,6536.64209
1502,1035,6535.323242
1569,1204,6504.876465
1337,1984,6438.413086
1218,1060,6228.681152
1100,1862,6115.686523
515,1987,6060.645996
1379,2312,6026.120117
864,1960,5772.691406
1368,2341,5681.582031
782,1351,5662.226563
662,2326,5503.69873
685,2391,5418.177246
1041,1586,5390.296387
680,1531,5316.018555
1239,2258,5315.924316
80,2024,5315.397949
1102,1126,5309.501953
1028,1223,5164.066406
1583,2131,5075
1338,1392,4840.562012
1338,1393,4838.427734
1342,1399,4838.412598
1323,1389,4837.79248
1049,1642,4810.739746
1584,2131,4725
890,1253,4723.521973
861,2185,4697.22168
1103,1126,4671.038086
1627,890,4596.927246
1257,2372,4594.188477
1378,1737,4544.598145
1217,1060,4530.142578
1395,1299,4504.21875
1218,1061,4428.70752
1261,1803,4369.114258
2207,1676,4238.500977
2050,1771,4207.5
1006,1081,4172.318848
1217,1061,4143.960449
585,1636,4114.101563
1216,1018,4105.583984
654,2321,4100.165527
540,1254,4069.19751
449,1593,4028.841309
902,2399,4024.313477
579,2064,4015.357422
1522,1536,3989.781494
2049,1771,3987.5
999,1856,3972.415527
1175,1070,3962.205322
109,2454,3944.923584
428,1974,3905.817139
484,1264,3869.408936
1088,1630,3824.616699
1444,590,3800.29248
1225,1060,3736.647461
1611,2234,3734.764404
1466,1204,3729.576416
905,2083,3717.612549
827,969,3710.739746
471,2356,3696.804932
573,2406,3690.648926
1295,1782,3685.360352
1511,1071,3628.814209
1319,1183,3622.564941
351,1564,3609.87085
1402,1757,3596.912354
1040,1293,3568.84082
1246,1068,3547.348389
860,2185,3496.629395
384,1930,3466.717285
850,1929,3456.79248
1519,1049,3422.433105
1869,1954,3419.127441
889,1253,3416.83667
736,1758,3380.49585
1055,1195,3375.702637
858,1930,3354.53125
862,2093,3336.388916
201,2387,3332.876465
1298,1154,3325.886963
1567,1201,3318
1568,1198,3313
1369,2332,3306.5
1381,1168,3296.608887
1633,2419,3288.275635
1221,1060,3242.399902
996,2084,3237.640381
1504,1596,3236.147461
2462,1843,3217
448,1593,3215.709229
1852,1960,3181
2253,1657,3177.814697
579,826,3165.928223
1364,2303,3158.521729
680,1229,3146.404785
1218,1017,3104.640137
1522,1535,3103.363037
1695,522,3088.845459
1610,1461,3078.868896
1711,1511,3026.930908
825,2482,3022.326416
36,2199,3005.925537
1443,2320,2982.36499
1830,1267,2978.802734
2263,1592,2974.021973
1366,2313,2973.758545
1597,1273,2943.789063
863,2187,2930.62915
443,2422,2918.214355
572,2101,2910.099609
67,541,2905.071289
385,1930,2880.5
993,2084,2874.224609
559,1622,2849.692139
861,1930,2846.709473
953,1169,2844.237793
1350,1467,2843.109375
855,1857,2836.448486
404,623,2832.966064
285,771,2828.51709
225,394,2826.878418
350,1573,2826.304199
561,1899,2767.029053
2254,1657,2762.195068
1365,2490,2720.607666
567,2139,2716.366943
1332,1654,2704.078857
799,1262,2693.179932
1948,1958,2692.553223
664,2383,2666
714,454,2654.747803
1568,1201,2640
1018,934,2633.527344
1313,1473,2632.495117
890,1254,2620.185303
1173,1078,2613.248291
1622,2416,2582.157227
110,2456,2581.874268
350,1568,2568.553955
830,2482,2554.291992
1219,1060,2519.897949
1217,1059,2514.248535
1397,594,2512.860352
368,1988,2489.616699
862,2094,2488.592041
1537,1172,2483.448242
202,403,2479.383545
1053,1004,2472.537842
2269,1836,2463.223633
1803,863,2458.809326
1569,1203,2457.184082
1133,1633,2448.168213
826,2482,2441.354492
907,2082,2432.612549
537,1961,2431.159912
1754,821,2424.778076
1367,2313,2409.938477
994,2085,2398.60498
1133,1632,2395.799805
827,2482,2392.114502
1299,1154,2373.471924
2222,1611,2370.802734
2131,1913,2370.292969
995,2085,2367.000732
1297,1154,2354.013672
1313,1474,2333.981445
849,1929,2327.503418
1332,1651,2321.511963
656,2324,2314.503906
2236,1616,2288.675781
1131,907,2274.356445
147,1308,2273.33667
2266,1835,2272.327393
2252,1657,2258.173584
1396,594,2255.384277
1311,2473,2249.622559
1025,1515,2247.77124
861,2094,2237.221191
1566,1203,2234.003662
87,2422,2233.028076
285,625,2229.446289
1078,2379,2217.312988
1441,1766,2215.626953
2306,1798,2209.713623
1463,1690,2209.172119
952,1149,2204.287109
1333,2456,2198.728027
1380,2312,2191.125488
1127,2439,2177.027832
1105,2438,2172.775879
2235,1616,2147.295898
509,669,2146.252197
1836,976,2138.763916
343,2007,2135.685059
1241,1494,2117.64209
2272,1836,2103.894287
825,2481,2099.74292
1512,1071,2089.832031
1171,1572,2076.598389
11,2199,2075.334229
1171,1571,2068.897705
1172,1571,2068.324951
1313,1475,2054.088867
403,625,2042.154541
1505,1543,2041.657593
2462,2487,2036.20813
556,1621,2034.864136
1080,1869,2030.308472
1523,1540,2030.136475
2265,1835,2010.903809
576,1284,2007.353149
270,1620,1999.392456
655,2323,1989.945801
689,1171,1984.960083
1305,928,1983.663696
491,2269,1983.25
1364,2490,1975.880737
1370,2332,1947.161011
1849,1029,1944.101929
1084,874,1936.95459
446,1976,1932.975098
575,1285,1929.659424
1254,2403,1928.824951
389,808,1925.302124
2214,1892,1921.371338
1905,1806,1918.423828
1611,2428,1918.024902
1647,1074,1915.458374
1198,2326,1914.998535
1456,1241,1914.743896
615,1209,1913.919067
1811,1023,1908.519287
447,1976,1904.239746
1973,1727,1903.262939
1811,1017,1903.2052
521,2242,1894.018921
1570,1203,1886.344604
1812,1023,1874.600952
971,1656,1872.270142
343,1781,1871.41272
618,1092,1869.582642
1543,1151,1847
618,1091,1836.472778
829,2482,1815.570313
277,1807,1811.212036
828,2482,1805.959717
996,2083,1796.957886
1175,1069,1794.310669
1662,1156,1790.625
1435,1592,1784.144165
1380,2313,1782.028809
428,2397,1781.601318
1837,1024,1779.060059
1855,1028,1775.060669
1386,2313,1760.280884
519,215,1758.145386
1222,1060,1752.026855
1155,1888,1750.629639
2338,1810,1747.053711
1363,1522,1744.520264
1302,2471,1740.880981
661,2340,1740.469971
1100,1682,1732.075195
517,213,1730.888916
673,2454,1720.818604
285,772,1714.815063
1285,2321,1707.19458
1369,2334,1707.101685
1240,1494,1706.742798
155,1308,1706.36145
861,2186,1703.684937
862,2187,1692.45459
838,956,1690.431885
995,1109,1684.80896
1285,2322,1684.697754
1283,2322,1683.77124
1284,2322,1683.77124
593,1299,1683.53064
2222,1570,1683.403076
1567,1202,1668.772217
2263,1835,1660.659058
1450,2,1658.496826
1239,1494,1656.991089
1100,2309,1656.246582
1937,1341,1655.805786
1568,1199,1652.051636
1568,1200,1652.051636
2264,1834,1647.486694
1937,1342,1646.563843
1226,1060,1644.644165
1576,1203,1635.924561
989,999,1633.555664
286,1778,1627.763184
970,1656,1623.028687
1292,1126,1620.124023
1369,2351,1618.080811
1295,157,1614.5
458,1217,1612.563721
1352,2449,1607.018311
1176,1070,1603.794067
363,1298,1582.226074
629,2207,1580
1345,170,1576.025635
2351,2235,1570.578003
450,229,1563.420044
1609,1451,1559.546997
201,2388,1557.545654
2184,965,1556.311768
472,2355,1555.040283
203,403,1552.297485
833,2462,1552.186279
994,2084,1550.16687
1190,2407,1548.46228
527,1364,1545.791992
1483,1346,1543.579712
528,1364,1542.453369
2133,1964,1532.552734
1411,962,1525.94458
1085,874,1524.215942
1816,1350,1516.962524
908,2083,1515.045654
389,1238,1514.273804
1247,2315,1513.265625
148,1308,1509.571167
355,1354,1506.989136
1368,1850,1506.869995
51,2205,1506.593262
58,536,1496.30542
1315,1383,1490.162476
1816,1351,1487.941162
2271,1836,1486.43457
660,2340,1485.060181
505,2044,1481.560303
208,914,1481.181641
517,803,1478.581543
839,1859,1474.69812
711,455,1474.092163
1410,962,1469.862305
2439,1908,1465.654419
1258,2371,1464.579224
1101,2403,1463.153076
995,2083,1456.712036
1880,868,1456.0625
1540,1153,1449.292725
1373,1413,1445.583008
2362,1812,1444.452148
2106,1817,1443.328125
1256,2403,1441.252441
1127,1015,1438.054199
1660,1691,1438.001831
485,1980,1435.305298
1163,1851,1430.524048
1164,1851,1430.524048
1512,1394,1430.293823
358,1997,1429.691528
1513,1393,1425.910522
1201,2329,1424.551636
1033,1636,1420.574097
1373,1414,1420.043823
831,2482,1419.132446
2216,1562,1416.594604
1311,2471,1415.053345
1624,2386,1411.281128
1030,2462,1410.900879
172,1711,1409.965332
1456,1240,1403.648315
1254,2409,1403.474609
2440,1906,1402.175781
564,2141,1398.849365
2005,2236,1392.205078
1102,1066,1389.517212
596,2081,1388.708618
294,758,1383.594482
57,536,1383.548828
1141,1630,1382.790283
715,454,1378.649902
1628,891,1378.097046
2214,1891,1377.393188
208,401,1376.883545
508,668,1371.851929
1365,2476,1370.615967
750,2288,1366.88855
1959,2150,1365.146362
460,1214,1360.326782
1917,583,1360.163818
991,1086,1357.863037
277,1814,1354.344238
